county_fips,county_name,state,centroid_lat,centroid_lon,eligible_population,poverty_pct,rurality_index,high_risk_index,population_weight_before,mean_travel_time_minutes_before,p90_travel_time_minutes_before,pct_over_45_minutes_before,travel_time_coverage_before,population_weight_after,mean_travel_time_minutes_after,p90_travel_time_minutes_after,pct_over_45_minutes_after,travel_time_coverage_after,population_nearest_facility_changed,population_newly_over_30_minutes,population_newly_over_45_minutes,population_newly_over_60_minutes,access_metric,mean_travel_time_delta,p90_travel_time_delta,pct_over_threshold_delta,shock_mean_travel_time_component,shock_p90_travel_time_component,shock_threshold_component,deterioration_component,vulnerability_poverty_component,vulnerability_rurality_component,vulnerability_risk_component,vulnerability_component,shock_score,alert_level
37099,Jackson County,NC,35.285454,-83.123966,6767,18.005554,0.962858,0.136733,6767.0,19.621380227574996,24.540947368421055,0.0,1.0,6767.0,19.621380227574996,24.540947368421055,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6001851333333333,0.962858,0.136733,0.5699513533333334,0.0,NONE
37101,Johnston County,NC,35.513419,-78.367348,34360,10.634919,0.868827,0.183975,34360.0,13.260128637951107,20.44167883211679,0.0,1.0,34360.0,13.260128637951107,20.44167883211679,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3544973,0.868827,0.183975,0.45763951999999997,0.0,NONE
37103,Jones County,NC,35.032268,-77.356195,1805,18.362688,0.994433,0.409015,1805.0,20.40354570637119,28.727661169415295,0.0,1.0,1805.0,20.40354570637119,28.727661169415295,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6120895999999999,0.994433,0.409015,0.66587024,0.0,NONE
37105,Lee County,NC,35.476336,-79.172117,10188,16.474569,0.886005,0.19782,10188.0,12.675756772673735,18.779401221995926,0.0,1.0,10188.0,12.675756772673735,18.779401221995926,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5491522999999999,0.886005,0.19782,0.54480842,0.0,NONE
37107,Lenoir County,NC,35.240066,-77.635514,9607,21.952258,0.940797,0.60913,9607.0,16.00714374934943,23.039195266272188,0.0,1.0,9607.0,16.00714374934943,23.039195266272188,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7317419333333334,0.940797,0.60913,0.7576748733333334,0.0,NONE
37109,Lincoln County,NC,35.488491,-81.226893,16361,11.246449,0.860816,0.154799,16361.0,12.616152435670191,20.208939070830162,0.0,1.0,16361.0,12.616152435670191,20.208939070830162,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37488163333333335,0.860816,0.154799,0.4546371533333333,0.0,NONE
37113,Macon County,NC,35.152959,-83.421901,7286,11.603786,0.969927,0.372587,7286.0,25.578749656876205,36.63706363636365,0.12077957727147955,1.0,7286.0,25.578749656876205,36.63706363636365,0.12077957727147955,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3867928666666666,0.969927,0.372587,0.5574713466666666,0.0,NONE
37115,Madison County,NC,35.864206,-82.712631,3862,12.123383,0.981283,0.248633,3862.0,24.07847747281201,48.46034634146342,0.19394096323148627,1.0,3862.0,24.07847747281201,48.46034634146342,0.19394096323148627,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4041127666666667,0.981283,0.248633,0.5306199066666667,0.0,NONE
37117,Martin County,NC,35.847301,-77.119602,4121,20.366541,0.981834,0.565305,4121.0,27.475712205775295,31.604255707762558,0.0,1.0,4121.0,27.475712205775295,31.604255707762558,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6788847,0.981834,0.565305,0.73569558,0.0,NONE
37111,McDowell County,NC,35.682268,-82.048045,7855,14.807754,0.957061,0.377582,7855.0,20.868645448758755,28.830585501858735,0.0,1.0,7855.0,20.868645448758755,28.830585501858735,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49359179999999997,0.957061,0.377582,0.59782962,0.0,NONE
37119,Mecklenburg County,NC,35.246862,-80.833832,152279,10.361531,0.0,0.351262,152279.0,8.351330715331727,12.48376612903226,0.0,1.0,152279.0,8.351330715331727,12.48376612903226,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34538436666666666,0.0,0.351262,0.24353234666666668,0.0,NONE
37121,Mitchell County,NC,36.013102,-82.163554,2865,12.918726,0.97258,0.527572,2865.0,17.210230366492144,25.223584070796466,0.0,1.0,2865.0,17.210230366492144,25.223584070796466,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43062419999999996,0.97258,0.527572,0.6222952799999999,0.0,NONE
37123,Montgomery County,NC,35.327548,-79.910752,4535,15.443848,0.979337,0.26618,4535.0,20.47050275633958,33.07753968253968,0.0,1.0,4535.0,20.47050275633958,33.07753968253968,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5147949333333333,0.979337,0.26618,0.5795730733333333,0.0,NONE
37125,Moore County,NC,35.308273,-79.492723,17353,10.074714,0.935008,0.222291,17353.0,16.239302137958852,25.073105263157895,0.0,1.0,17353.0,16.239302137958852,25.073105263157895,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3358238,0.935008,0.222291,0.48151922,0.0,NONE
37127,Nash County,NC,35.965945,-77.987555,16486,11.838802,0.922405,0.435005,16486.0,12.930812204294552,21.33966502463054,0.0,1.0,16486.0,12.930812204294552,21.33966502463054,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3946267333333333,0.922405,0.435005,0.5650736933333333,0.0,NONE
37129,New Hanover County,NC,34.183445,-77.864204,38598,12.293758,0.446601,0.33385,38598.0,10.30271128037722,17.558218097447796,0.0,1.0,38598.0,10.30271128037722,17.558218097447796,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40979193333333336,0.446601,0.33385,0.39805207333333337,0.0,NONE
37131,Northampton County,NC,36.421774,-77.398352,3514,21.106109,0.989058,0.439877,3514.0,40.10232214001138,48.20023529411765,0.19806488332384747,1.0,3514.0,40.10232214001138,48.20023529411765,0.19806488332384747,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7035369666666667,0.989058,0.439877,0.7100952866666667,0.0,NONE
37133,Onslow County,NC,34.763109,-77.499469,20261,11.592106,0.879278,0.227572,20261.0,18.841623809288784,40.62324320909666,0.0,1.0,20261.0,18.841623809288784,40.62324320909666,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3864035333333333,0.879278,0.227572,0.48661641333333333,0.0,NONE
37135,Orange County,NC,36.062525,-79.120033,21678,12.476915,0.832095,0.277951,21678.0,10.271818894731988,20.34119860627178,0.0,1.0,21678.0,10.271818894731988,20.34119860627178,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41589716666666665,0.832095,0.277951,0.4993726666666667,0.0,NONE
